section,page_title,document_kind,owner,audience
"Project Deployment","Vehicle Software Release Overview","deployment guide","Release Management","release managers, DevOps engineers, validation leads"
"Project Deployment","ECU Software Package Matrix","deployment guide","Embedded Platform","release managers, DevOps engineers, validation leads"
"Project Deployment","OTA Campaign Deployment Plan","deployment guide","OTA Operations","release managers, DevOps engineers, validation leads"
"Project Deployment","Cloud Backend Deployment Readiness","deployment guide","Cloud Platform","release managers, DevOps engineers, validation leads"
"Project Deployment","Dealer Diagnostics Rollout","deployment guide","Diagnostics Platform","release managers, DevOps engineers, validation leads"
"Project Deployment","Feature Flag Release Control","deployment guide","Feature Operations","release managers, DevOps engineers, validation leads"
"Project Deployment","Production Telemetry Cutover","deployment guide","Data Platform","release managers, DevOps engineers, validation leads"
"Project Deployment","Manufacturing Plant Deployment Window","deployment guide","Manufacturing IT","release managers, DevOps engineers, validation leads"
"Project Deployment","Validation and Release Sign-Off","deployment guide","Validation Office","release managers, DevOps engineers, validation leads"
"Project Deployment","Rollback and Hotfix Procedure","deployment guide","Release Management","release managers, DevOps engineers, validation leads"
"HR Question","Engineering On Call Compensation Rules","HR policy answer","People Operations","employees, managers, HR partners"
"HR Question","Remote Work Approval Flow","HR policy answer","People Operations","employees, managers, HR partners"
"HR Question","Training Budget Request","HR policy answer","Learning and Development","employees, managers, HR partners"
"HR Question","Equipment Request Policy","HR policy answer","Workplace Services","employees, managers, HR partners"
"HR Question","Hiring Interview Panel Process","HR policy answer","Talent Acquisition","employees, managers, HR partners"
"HR Question","Contractor Access Onboarding","HR policy answer","People Operations","employees, managers, HR partners"
"HR Question","Travel Expense Eligibility","HR policy answer","People Operations","employees, managers, HR partners"
"HR Question","Paid Leave During Release Freeze","HR policy answer","People Operations","employees, managers, HR partners"
"HR Question","Performance Review Timeline","HR policy answer","People Operations","employees, managers, HR partners"
"HR Question","Confidential Incident Reporting","HR policy answer","People Operations","employees, managers, HR partners"
"Internal Tools","Jira Project Access","internal tool guide","Engineering Operations","software engineers, validation engineers, project leads"
"Internal Tools","GitHub Enterprise Repository Access","internal tool guide","Developer Platform","software engineers, validation engineers, project leads"
"Internal Tools","Artifactory Package Registry","internal tool guide","Developer Platform","software engineers, validation engineers, project leads"
"Internal Tools","Jenkins Build Farm","internal tool guide","Build Infrastructure","software engineers, validation engineers, project leads"
"Internal Tools","SonarQube Quality Dashboard","internal tool guide","Quality Engineering","software engineers, validation engineers, project leads"
"Internal Tools","Vehicle Log Portal","internal tool guide","Data Platform","software engineers, validation engineers, project leads"
"Internal Tools","Feature Flag Console","internal tool guide","Feature Operations","software engineers, validation engineers, project leads"
"Internal Tools","Secrets Vault Access","internal tool guide","Security Engineering","software engineers, validation engineers, project leads"
"Internal Tools","Test Bench Reservation Tool","internal tool guide","Validation Operations","software engineers, validation engineers, project leads"
"Internal Tools","Requirements Traceability System","internal tool guide","Systems Engineering","software engineers, validation engineers, project leads"
"Finances","Prototype Hardware Purchase Approval","finance process","Finance Business Partner","engineering managers, project owners, finance partners"
"Finances","Supplier Invoice Intake","finance process","Accounts Payable","engineering managers, project owners, finance partners"
"Finances","Engineering Travel Reimbursement","finance process","Finance Operations","engineering managers, project owners, finance partners"
"Finances","Cloud Cost Allocation","finance process","Cloud FinOps","engineering managers, project owners, finance partners"
"Finances","License Renewal Budget","finance process","Finance Business Partner","engineering managers, project owners, finance partners"
"Finances","Capital Equipment Request","finance process","Finance Business Partner","engineering managers, project owners, finance partners"
"Finances","Project Budget Forecast","finance process","Program Finance","engineering managers, project owners, finance partners"
"Finances","Purchase Order Change Request","finance process","Procurement","engineering managers, project owners, finance partners"
"Finances","External Training Payment","finance process","Learning Finance","engineering managers, project owners, finance partners"
"Finances","Cost Center Mapping","finance process","Finance Operations","engineering managers, project owners, finance partners"
"Company Benefits","Health Insurance Enrollment","benefits guide","Benefits Team","employees and HR partners"
"Company Benefits","Wellness Budget Claim","benefits guide","Benefits Team","employees and HR partners"
"Company Benefits","Pension Contribution Setup","benefits guide","Benefits Team","employees and HR partners"
"Company Benefits","Parental Leave Benefits","benefits guide","Benefits Team","employees and HR partners"
